위도,경도,기관명
35.85238901,128.50042,성서부부치과의원
35.85025339,128.4736813,성서연합치과의원
35.85056761,128.5133727,성서치과의원
35.83120567,128.552208,성심연합치과의원
35.81472572,128.516616,소나무치과의원
35.85512544,128.5055745,소망연합치과의원
35.81656087,128.5132527,소유치과의원
35.81351376,128.5460321,소재정치과의원
35.82692745,128.5315813,솔로몬치과의원
35.81857264,128.5375235,솔치과의원
35.80079285,128.5326901,수목원치과의원
35.84945213,128.5274033,스마일100치과의원
35.81666535,128.5224494,스마일키즈치과의원
35.82455093,128.5268175,스마트치과의원 월성점
35.85055599,128.5365995,스마트치과의원 죽전점
35.850369,128.536089,스카이치과의원
35.84141675,128.5445412,신성치과의원
35.85425935,128.5100197,신세계치과의원
35.81449849,128.5274038,씨엘치과의원
35.8195135,128.5387583,아르미치과의원
35.82364538,128.5458914,아름다운 이치과의원
35.8177804,128.539322,아세아바른이치과의원
35.8177804,128.539322,아세아치과의원
35.85506855,128.5062384,아이사랑치과의원
35.82981715,128.55035,양정치과의원
35.84514749,128.536718,에녹치과의원
35.80928928,128.512741,에스프라임치과의원
35.8554115,128.5523487,에스프라임치과의원 광장점
35.84087668,128.5443825,에이본치과의원
35.81709677,128.5329653,연제연합치과의원
35.82875788,128.5494129,예담치과의원
35.85032386,128.5155632,오치과의원
35.83417731,128.550845,옥치과의원
35.8170633,128.5179812,온가족연합치과의원
35.8583149,128.5308723,용산미치과의원
35.85907713,128.5297149,용산박영치과의원
?35.8500307,128.533254,용산에스(S)치과의원
35.85854583,128.5213851,용산연합치과의원
35.850369,128.536089,용산우리연합치과의원
35.85697196,128.5308634,용산이사랑치과의원
35.85848879,128.5302756,용산제일치과의원
35.80910204,128.512264,우리들치과의원
35.85404428,128.5485138,우리아이치과의원
35.81266296,128.5448312,우리치과의원
35.84872724,128.5363879,월드엠치과의원
35.81816858,128.5166715,월배본치과의원
35.81909078,128.5160135,월배예모아치과의원
35.82475675,128.5251034,월성수연합치과의원
35.82811673,128.5316889,월성우리치과의원
35.82548965,128.5265138,월성탑치과의원
35.81646383,128.5211201,위드치과의원
35.8501251,128.5301312,유니온치과보철과치과의원
35.85499501,128.5087069,유디성서치과의원
35.82038023,128.5323786,유어스치과의원
35.85566336,128.5041165,윤종근치과의원
35.80765094,128.5469435,이가튼튼치과의원
35.85404428,128.5485138,이동식치과의원
35.85572805,128.5528102,이레불꽃치과의원
