연번,업소명,업태,업소주소
74,강씨목삼 교동점,한식,"대구광역시 중구 경상감영길 196(지상 1, 2층 동문동)"
75,강씨목삼 남산점,식육(숯불구이),대구광역시 중구 달구벌대로 2009(지상 1층 동산동)
76,강호연파 더현대대구점,한식,대구광역시 중구 달구벌대로 2077(현대백화점 지하1층 계산동2가)
77,강훈옛날통닭,호프/통닭,"대구광역시 중구 동덕로30길 77(동인동4가, 지상1층)"
78,개미,한식,대구광역시 중구 중앙대로 446-5(화전동)
79,개미분식,분식,대구광역시 중구 동성로 70-10(동문동)
80,개정,냉면집,대구광역시 중구 달구벌대로 2077(계산동2가)
81,개정 본점,냉면집,"대구광역시 중구 동성로3길 52(1,2,3층 삼덕동1가)"
82,개정동성로점,냉면집,대구광역시 중구 동성로 36-6(2층 동성로2가)
83,갱스터피자 동성로점,경양식,"대구광역시 중구 동성로3길 21(봉산동, 지상2,3층)"
84,거구장,한식,대구광역시 중구 대봉로 269(봉산동)
85,거구장,한식,대구광역시 중구 명륜로 165(대봉동)
86,거니쿡,경양식,대구광역시 중구 중앙대로66길 44(1층 남산동)
87,거래처,한식,대구광역시 중구 달구벌대로414길 25(지하 1층 남산동)
88,거송 갈비찜,한식,"대구광역시 중구 남성로 40(남성로, A동 지상1층)"
89,거송갈비찜,한식,대구광역시 중구 동덕로30길 45(1층 107호 동인동4가)
90,거창식당,복어취급,대구광역시 중구 서성로 25-7(1층 계산동1가)
91,건강밥상,한식,대구광역시 중구 달구벌대로 2077(현대백화점 지하1층 계산동2가)
92,건담(GUNDAM),한식,대구광역시 중구 공평로 13(지상1층 삼덕동1가)
93,건즈 앤 로지즈(Guns N' Roses),정종/대포집/소주방,대구광역시 중구 달구벌대로450길 6(지상 1층 대봉동)
94,걸리버막창 동성로점,식육(숯불구이),대구광역시 중구 동성로3길 32-20(삼덕동1가)
95,걸리버막창 종로점,식육(숯불구이),대구광역시 중구 종로 45-1(지상1층 종로1가)
96,결이식당,한식,대구광역시 중구 봉산문화길 82(지상1층 봉산동)
97,경도 미야꼬우동(대백프라자점),일식,"대구광역시 중구 명덕로 315(대봉동, 지상1층)"
98,경복궁 대구반월당역점(주)엔타스에스디,한식,대구광역시 중구 달구벌대로 2095(삼성생명 2층 덕산동)
99,경북대학교병원식당,한식,대구광역시 중구 동덕로 130(삼덕동2가)
