연번,업소명,업태,업소주소
1264,봉자막창,식육(숯불구이),"대구광역시 중구 대봉로 221-1(대봉동, 지상1층)"
1265,봉추찜닭,호프/통닭,대구광역시 중구 동성로6길 17-1(공평동)
1266,봉화가든,한식,대구광역시 중구 동덕로30길 125(장군빌딩 지상 1층 동인동4가)
1267,봉화정식당,한식,"대구광역시 중구 동덕로36길 12(동인동2가, 지상1층)"
1268,부대찌개 할매집,한식,대구광역시 중구 중앙대로 406-13(남일동)
1269,부두,경양식,"대구광역시 중구 동성로3길 58-19(공평동, 지상2층)"
1270,부루잉,기타,대구광역시 중구 명륜로23길 83(남산동)
1271,부림왕소금구이,식육(숯불구이),대구광역시 중구 중앙대로81길 43(장관동)
1272,부림해물손수제비,한식,대구광역시 중구 국채보상로139길 8(동인동4가)
1273,부림해물손수제비칼국수,한식,대구광역시 중구 남성로 36(지상1층 남성로)
1274,부산밀면,한식,대구광역시 중구 달구벌대로 2153(지상 1층 삼덕동1가)
1275,부산설렁탕,탕류(보신용),대구광역시 중구 서성로14길 54(북내동)
1276,부산안면옥,냉면집,"대구광역시 중구 국채보상로125길 4-1(공평동, 지상1,2,3층)"
1277,부산해물,한식,대구광역시 중구 동성로 4-6(동성로3가)
1278,부성쌈밥,한식,대구광역시 중구 약령길 33-36(계산동2가)
1279,부식피자앤모어,한식,대구광역시 중구 달구벌대로443길 39(1층 삼덕동2가)
1280,부엉이,한식,대구광역시 중구 북성로 104-14(1층 향촌동)
1281,부을주,한식,대구광역시 중구 동성로5길 84(지상1층 삼덕동1가)
1282,부을주 동성로점,한식,대구광역시 중구 동성로5길 84(삼덕동1가)
1283,부자면,한식,대구광역시 중구 동성로5길 6(동성로3가)
1284,부집,한식,대구광역시 중구 공평로8길 12(1층 삼덕동2가)
1285,부창생갈비,식육(숯불구이),"대구광역시 중구 국채보상로 492-12(동산동, 지상1층)"
1286,부촌식당,한식,"대구광역시 중구 달성공원로 60-1(달성동, 지상1층)"
1287,부케(Bouquet),경양식,대구광역시 중구 경상감영길 213(2층 동문동)
1288,북성로 준호집,한식,"대구광역시 중구 달성공원로8길 15(달성동, 지상1층)"
1289,북성로공구빵,분식,"대구광역시 중구 서성로14길 79(대안동, 지상1층)"
1290,북스치킨북까페,호프/통닭,"대구광역시 중구 명륜로 71(남산동, 지상1,2층)"
1291,북창동순두부,한식,대구광역시 중구 달구벌대로 2033(엘디스리젠트호텔 지상 1층 동산동)
1292,북카페민툰,경양식,"대구광역시 중구 중앙대로 412-52(동성로2가, 지하1층)"
1293,불그락,한식,"대구광역시 중구 동성로12길 65(지상 1,2층 동문동)"
1294,불타는청춘,식육(숯불구이),"대구광역시 중구 서성로 91(수창동, 지상1층)"
1295,불통,한식,대구광역시 중구 공평로8길 8(삼덕동2가)
1296,붐부돈까스,경양식,대구광역시 중구 문우관길 30-6(남산동)
1297,브라운브릭스,경양식,"대구광역시 중구 동성로3길 21(봉산동, 지상1층)"
1298,브라운슈가,경양식,"대구광역시 중구 명덕로65길 56(대봉동, 지상1층)"
1299,브레드,감성주점,대구광역시 중구 동성로3길 58-8(지하 1층 삼덕동1가)
1300,브루어스 브라더스,호프/통닭,대구광역시 중구 종로 29(종로2가)
1301,브리스톳카페,경양식,"대구광역시 중구 달구벌대로 지하 2100(덕산동, 메트로센터 S-104)"
1302,브리플리(briefly),기타,대구광역시 중구 국채보상로149길 75-2(1층 동인동3가)
1303,브린디스(BRINDIS),경양식,대구광역시 중구 달구벌대로447길 34-39(1층 삼덕동3가)
1304,블랑쉬 오브,기타,"대구광역시 중구 동성로5길 94-19(삼덕동1가, 지상1층)"
1305,블랙타코,경양식,"대구광역시 중구 공평로 31(삼덕동1가, 지상2층)"
1306,블루샥,기타,대구광역시 중구 중앙대로 413(지상1층 남일동)
1307,블루시카고,경양식,대구광역시 중구 달구벌대로 2033(동산동)
1308,비2(B2),한식,"대구광역시 중구 동성로4길 21(삼덕동1가, 지상1층)"
1309,비로소(Biroso),한식,"대구광역시 중구 명륜로11길 7(1,2층 남산동)"
1310,비밀,경양식,대구광역시 중구 동성로4길 46(삼덕동1가)
1311,비비(BEE BEE),경양식,대구광역시 중구 동성로3길 12-22(지상1층 삼덕동1가)
1312,비비큐 동인중앙점,호프/통닭,대구광역시 중구 국채보상로 702(1층 동인동4가)
1313,비비큐(BBQ) 남산대신점,호프/통닭,"대구광역시 중구 달구벌대로 1950(남산동, 지상1층 101동 1호)"
1314,비비큐(BBQ) 대구남산스마트점,호프/통닭,대구광역시 중구 남산로12길 20(1층 남산동)
1315,비비큐대봉점,호프/통닭,"대구광역시 중구 대봉로 223(대봉동, 지상1층)"
1316,비스콤(VISKOM),기타,대구광역시 중구 국채보상로131길 18(2층 동인동2가)
1317,비스트로피자 중구직영점,경양식,대구광역시 중구 명덕로 171(1층 남산동)
1318,비아 나폴리(VIA NAPOLI),중국식,대구광역시 중구 종로 20(1층 103호 종로2가)
1319,비에이치씨(BHC) 대구남산점,호프/통닭,대구광역시 중구 재마루길 94(1층 남산동)
1320,비에이치씨(BHC) 치킨 대봉점,호프/통닭,"대구광역시 중구 대봉로 239(대봉동, 지상1층)"
1321,비에이치씨(bhc) 대구교동점,분식,대구광역시 중구 공평로 97-1(1층 동문동)
1322,비와이딜리버리(BY딜리버리),일식,대구광역시 중구 중앙대로77길 52(지하1층 장관동)
1323,비일구일구,경양식,"대구광역시 중구 경상감영길 298-40(동인동2가, 지상1층)"
1324,비트윈,경양식,"대구광역시 중구 경상감영1길 62-5(향촌동, 지상1층)"
1325,빈 플러스,경양식,"대구광역시 중구 동성로4길 73(공평동, 지상2층,3층)"
1326,빈칸,경양식,대구광역시 중구 명륜로 120-1(지상1층 대봉동)
1327,빌라드모리,경양식,대구광역시 중구 명덕로 321-49(1층 대봉동)
1328,빌리보우&다트,호프/통닭,대구광역시 중구 동성로2길 95(동성로2가)
1329,빗살 본점,한식,"대구광역시 중구 남산로 73(301동 104호 남산동, 청라힐스자이)"
1330,빙담,기타,"대구광역시 중구 남산로7길 7(303동 105호 남산동, 남산역 화성파크드림)"
1331,빛의하와이,경양식,대구광역시 중구 공평로 17(지상2층 삼덕동1가)
1332,"빠레뜨, 한남 대구동성로점",기타,"대구광역시 중구 동성로2길 58(공평동, 지상2층)"
1333,빡빡이참숯화로구이,식육(숯불구이),"대구광역시 중구 큰장로26안길 78-1(대신동, 지상1층)"
1334,빨간지붕,분식,"대구광역시 중구 동성로6길 70(공평동, 지상1층)"
1335,빨래터,식육(숯불구이),"대구광역시 중구 동성로4길 28-13(삼덕동1가, 지상1층)"
1336,빵굽는커피공장,경양식,대구광역시 중구 중앙대로 406-20(사일동)
1337,빵장수단팥빵 종로 본점,경양식,"대구광역시 중구 남성로 54(동성로3가, 지하1층,지상1,2층)"
1338,빽다방대구경대병원점,분식,대구광역시 중구 동덕로26길 18(삼덕동2가)
1339,뼈큰감자탕,한식,대구광역시 중구 명덕로 103(남산동)
1340,뽀조개,호프/통닭,대구광역시 중구 동덕로30길 137(지상 1층 동인동4가)
1341,뽕필,중국식,대구광역시 중구 달성공원로 20(대신동)
1342,삐떡,경양식,"대구광역시 중구 봉산문화2길 42-26(1,2층 봉산동)"
1343,삐빳빠룰라,경양식,대구광역시 중구 동성로3길 12-21(1층 삼덕동1가)
1344,삐에뜨라(pietra),경양식,"대구광역시 중구 약령길 45(남성로, 지상1층)"
1345,사계절밥상,한식,대구광역시 중구 남산로7길 97(1층 남산동)
1346,사공부엌,호프/통닭,대구광역시 중구 남성로 56-1(동성로3가)
1347,사라(SARAH)포차,기타,"대구광역시 중구 국채보상로140길 12(동인동2가, 지상1층)"
1348,사람들은 즐겁다,경양식,대구광역시 중구 동성로4길 40-13(삼덕동1가)
1349,사람들은즐겁다,경양식,"대구광역시 중구 국채보상로150길 78(삼덕동3가, 지상1층)"
1350,사랑방,한식,대구광역시 중구 교동3길 39(2층 완전동)
1351,사랑방,한식,대구광역시 중구 달구벌대로443길 26-21(삼덕동3가)
1352,사석,일식,"대구광역시 중구 중앙대로 375(덕산동, 지상1층)"
1353,사야까,경양식,대구광역시 중구 중앙대로 406-17(사일동)
1354,사야까,일식,대구광역시 중구 국채보상로125길 4(공평동)
1355,사일구,경양식,대구광역시 중구 동성로12길 67(동문동)
1356,사천노마훠궈종로점,호프/통닭,"대구광역시 중구 종로 48-1(종로1가, 지상2층)"
1357,사파키친 동성로,"외국음식전문점(인도,태국등)",대구광역시 중구 동성로2길 4-9(봉산동)
1358,사평,일식,대구광역시 중구 동덕로36길 9-4(1층 동인동1가)
1359,산,한식,대구광역시 중구 남성로 53-1(종로2가)
1360,산골식당,한식,"대구광역시 중구 동덕로30길 81-1(동인동4가, 지상1층)"
1361,산더미 불고기,식육(숯불구이),대구광역시 중구 중앙대로 307-5(남산동)
1362,산도맨션,일식,대구광역시 중구 달구벌대로415길 37(2층 장관동)
1363,산들,경양식,대구광역시 중구 약령길 24(1층 계산동2가)
1364,산들해,한식,대구광역시 중구 남성로 48(1층 남성로)
1365,산시로 극진,일식,"대구광역시 중구 동덕로30길 103-3(지상1,2층 동인동4가)"
1366,산시로대봉건들바위역점,경양식,"대구광역시 중구 명덕로55길 6(대봉동, 지상1층)"
1367,산호찜갈비식당,한식,대구광역시 중구 동덕로36길 9-9(동인동1가)
1368,살구(Salgu),기타,대구광역시 중구 달구벌대로443길 15-28(1층 102호 삼덕동2가)
1369,삼공족발,한식,대구광역시 중구 큰장로28길 37(대신동)
1370,삼구(39),경양식,대구광역시 중구 달구벌대로440길 34(1층 대봉동)
1371,삼대애,한식,"대구광역시 중구 명덕로 333(대봉동, 지상11층)"
1372,삼대장 남산점,한식,대구광역시 중구 중앙대로61길 45(남산동)
1373,삼대할매국밥,탕류(보신용),대구광역시 중구 중앙대로 412-52(동성로2가)
1374,삼덕가든,기타,"대구광역시 중구 공평로 21(삼덕동1가, C동)"
1375,삼덕골 남원추어탕,한식,"대구광역시 중구 달구벌대로 2197-39(삼덕동2가, 지상1층)"
1376,삼덕돈,식육(숯불구이),대구광역시 중구 동덕로30길 121(지상 1층 동인동4가)
1377,삼덕동네,한식,대구광역시 중구 동성로5길 94-31(삼덕동1가)
1378,삼덕동이웃,한식,"대구광역시 중구 달구벌대로447길 60(삼덕동3가, 지상1층)"
1379,삼덕무한맥주,경양식,"대구광역시 중구 동성로2길 50(공평동, 지하1층)"
1380,삼덕밤부엉이,일식,대구광역시 중구 동성로5길 92(1층 삼덕동1가)
1381,삼덕식당,한식,대구광역시 중구 달구벌대로447길 44-13(1층 삼덕동3가)
1382,삼덕주안상,정종/대포집/소주방,"대구광역시 중구 동성로5길 94-6(삼덕동1가, 지상1층)"
1383,삼덕주안상,정종/대포집/소주방,대구광역시 중구 동성로5길 88(삼덕동1가)
1384,삼덕진리,한식,"대구광역시 중구 달구벌대로443길 7-6(삼덕동2가, 지상1층)"
1385,삼덕집,한식,대구광역시 중구 달구벌대로447길 41(1층 삼덕동3가)
1386,삼락,한식,대구광역시 중구 동성로 25-2(동성로2가)
1387,삼미,회집,대구광역시 중구 경상감영길 165-8(동문동)
1388,삼미갈비찜,한식,대구광역시 중구 큰장로28길 25(대신동)
1389,삼봉관,식육(숯불구이),"대구광역시 중구 명덕로35길 76(남산동, 지상1층)"
1390,삼삼구이초밥,회집,대구광역시 중구 중앙대로 354-42(남산동)
1391,삼삼카페,기타,"대구광역시 중구 국채보상로 537(수동, 지상1층)"
1392,삼수갑산,한식,대구광역시 중구 국채보상로 570-2(전동)
1393,삼시세때 순대국 보쌈,한식,"대구광역시 중구 공평로 23(삼덕동1가, 지상1층)"
1394,삼영,분식,대구광역시 중구 동성로 70-17(1층 교동)
1395,삼오리 분식하우스,분식,대구광역시 중구 공평로 26-11(1층 삼덕동2가)
1396,삼원당,한식,"대구광역시 중구 큰장로26길 25(서문시장 2지구 지하1층 서162호,163호 대신동)"
1397,삼육,한식,대구광역시 중구 서성로13길 38(인교동)
1398,삼일통닭,호프/통닭,"대구광역시 중구 종로 46(종로1가, 지상1층)"
1399,삼정프레시밀,한식,대구광역시 중구 달구벌대로 2164(1층 대봉동)
1400,삼칠이(37.2),한식,대구광역시 중구 동덕로 61(1층 대봉동)
1401,삼칠포차,정종/대포집/소주방,"대구광역시 중구 동성로3길 58-10(삼덕동1가, 지상2층)"
1402,삼팔포차,정종/대포집/소주방,"대구광역시 중구 명덕로 297-1(1,2층 대봉동)"
1403,삼호점,한식,대구광역시 중구 공평로 73(공평동)
1404,삼화만두,한식,"대구광역시 중구 남성로 58-1(동성로3가, 지상1층)"
1405,삼화식당,한식,대구광역시 중구 동성로 82(북성로1가)
1406,삼화푸드몰,분식,대구광역시 중구 공평로 43(삼덕동1가)
1407,삿뽀로 대구반월당역점(주)엔타스에스디,일식,대구광역시 중구 달구벌대로 2095(삼성생명 2층 덕산동)
1408,상구네 돼지구이,식육(숯불구이),"대구광역시 중구 대봉로 220(대봉동, 지상1층)"
1409,상도(Sangdo),기타,대구광역시 중구 공평로 69(1층 공평동)
1410,상봉,한식,대구광역시 중구 동성로3길 32-17(지상1층 삼덕동1가)
1411,상주식당,한식,대구광역시 중구 국채보상로 598-1(1층 동성로2가)
1412,상주식당,한식,대구광역시 중구 경상감영길 101(포정동)
1413,상철농장 종로본점,식육(숯불구이),대구광역시 중구 중앙대로79길 6(1층 남일동)
1414,새마을식당(동성로점),식육(숯불구이),"대구광역시 중구 동성로5길 75(삼덕동1가, 지상1층)"
1415,새마을한식,한식,대구광역시 중구 명덕로 325(지하1층 대봉동)
1416,새만리향,기타,"대구광역시 중구 명덕로35길 112(1층 남산동, 5지구 8,9,10,11호)"
1417,새벽닭,한식,대구광역시 중구 큰장로26길 16(대신동)
1418,새우공장 대구교동점,한식,대구광역시 중구 경상감영길 175(1층 동문동)
1419,색깔,경양식,대구광역시 중구 중앙대로 372(덕산동)
1420,샌드록커피(SANDROCK COFFEE),한식,대구광역시 중구 동덕로 64-13(대봉동)
1421,샌드위듀 반월당점,경양식,대구광역시 중구 달구벌대로418길 11(남산동)
1422,샐러드야,경양식,대구광역시 중구 봉산문화길 20(1층 봉산동)
1423,샐러디 대구동성로점,한식,"대구광역시 중구 중앙대로 397(1,2,3층 동성로3가)"
1424,샐러웨이,기타,대구광역시 중구 북성로4길 36(인교동)
1425,샐리즈샐러드,한식,대구광역시 중구 동덕로 106-5(삼덕동2가)
1426,생활맥주 대구종로점,정종/대포집/소주방,대구광역시 중구 중앙대로81길 29(1층 동일동)
1427,생활맥주 삼덕동점,호프/통닭,대구광역시 중구 공평로8길 58(1층 삼덕동2가)
1428,샤부작 동성로본점,한식,대구광역시 중구 중앙대로 406-7(지상 1층 남일동)
1429,샤부집소소,기타,대구광역시 중구 동성로6길 71(1층 공평동)
1430,샤브20 만경관점,한식,대구광역시 중구 국채보상로 547(MMC 만경관 1층 종로1가)
1431,샵도쿄시장,정종/대포집/소주방,"대구광역시 중구 동성로4길 43(삼덕동1가, 지상1층)"
1432,서나(seo.na),경양식,대구광역시 중구 동덕로30길 108(1층 삼덕동3가)
1433,서래함박,경양식,대구광역시 중구 달구벌대로 2077(현대백화점 지하1층 계산동2가)
1434,서류,경양식,대구광역시 중구 달성로 118(가동 지상 1층 수창동)
1435,서른,한식,대구광역시 중구 경상감영길 224(2층 동문동)
1436,서막,한식,대구광역시 중구 국채보상로150길 86(지상1층 삼덕동3가)
1437,서문,기타,대구광역시 중구 동성로 8-9(1층 동성로3가)
1438,서문 돈가스,분식,"대구광역시 중구 큰장로26길 25(대신동, 서문시장2지구 지하1층 서-136호)"
1439,서문 생고기,한식,대구광역시 중구 큰장로26안길 36(1층 대신동)
1440,서문보리밥,한식,대구광역시 중구 국채보상로 452-12(대신동)
1441,서문엄지돈까스,한식,"대구광역시 중구 국채보상로 458(대신동, 지상1층)"
1442,서문장어,한식,대구광역시 중구 큰장로26안길 13(1층 대신동)
1443,서문커피,기타,대구광역시 중구 큰장로22길 4(대구대동신협 지상 1층 대신동)
1444,서민뒷고기,식육(숯불구이),대구광역시 중구 국채보상로 714(동인동4가)
1445,서민실비포차,정종/대포집/소주방,대구광역시 중구 명덕로35길 112(5지구 1층 44호 남산동)
1446,서스,경양식,대구광역시 중구 경상감영길 32(지상1층 서문로1가)
1447,서양면옥,경양식,대구광역시 중구 달구벌대로443길 16-15(1층 삼덕동3가)
1448,서양식당,한식,대구광역시 중구 관덕정길 10(남산동)
1449,서영,한식,대구광역시 중구 종로 23-12(종로2가)
1450,서영,한식,대구광역시 중구 약령길 33-8(1층 계산동2가)
1451,서울골뱅이,한식,대구광역시 중구 종로 49-1(2층 종로1가)
1452,서울마님죽,한식,대구광역시 중구 큰장로 120-7(1층 대신동)
1453,서울만두,분식,대구광역시 중구 경상감영1길 61(북성로1가)
1454,서울만두,한식,대구광역시 중구 국채보상로140길 28(동인동2가)
1455,서울보쌈,한식,대구광역시 중구 명덕로35길 109(1층 남산동)
1456,서울삼계탕,탕류(보신용),대구광역시 중구 약령길 58-5(수동)
1457,서현식당,경양식,"대구광역시 중구 동덕로 84-3(대봉동, 지상1층)"
1458,석계삼계탕,한식,대구광역시 중구 중앙대로 406-19(지상3층 사일동)
1459,석빈,한식,대구광역시 중구 종로 45-16(종로1가)
1460,석산,한식,대구광역시 중구 동덕로 168-3(동인동2가)
1461,석정관,한식,대구광역시 중구 동성로4길 96(지상1층 공평동)
1462,석촌순대국밥,한식,대구광역시 중구 동성로1길 46-2(봉산동)
1463,선댄스팜,경양식,대구광역시 중구 동덕로8길 43(대봉동)
1464,선데이 베이글 마켓,기타,대구광역시 중구 동덕로14길 18-1(대봉동)
1465,선분,한식,대구광역시 중구 명륜로23길 75(남산동)
1466,선비꼬마김밥 계명대점,경양식,대구광역시 중구 남산로 6(1층 남산동)
1467,선비꼬마김밥 남산점,분식,대구광역시 중구 중앙대로 319(남산동)
1468,선비꼬마김밥 수창점,분식,"대구광역시 중구 서성로 99(판매시설동 127호 수창동, 대구역센트럴자이)"
1469,선산,한식,"대구광역시 중구 국채보상로 570-4(전동, 2동 지상1층)"
1470,선산식당,한식,대구광역시 중구 북성로 104-19(향촌동)
1471,선아식당,한식,대구광역시 중구 국채보상로 456(1층 대신동)
1472,선월만두,한식,대구광역시 중구 국채보상로99길 33(시장북로)
1473,설빙 동성로점,기타,"대구광역시 중구 동성로5길 54(삼덕동1가, 지상2층)"
1474,설악산 막국수,한식,대구광역시 중구 동덕로 114-11(삼덕동2가)
1475,설옥,한식,대구광역시 중구 동성로1길 68(1층 봉산동)
1476,섬섬,경양식,대구광역시 중구 경상감영길 189(2층 동문동)
1477,성래정식당,한식,대구광역시 중구 동성로3길 32-31(삼덕동1가)
1478,성심,한식,대구광역시 중구 남성로 4-1(남성로)
1479,성원정,한식,"대구광역시 중구 공평로20길 11(동인동1가, 지상1층)"
1480,성원정,한식,대구광역시 중구 경상감영길 286-33(1층 동인동2가)
1481,성주,기타,"대구광역시 중구 큰장로26안길 10(대신동, 지상1층)"
1482,성주 숯불 갈비,식육(숯불구이),대구광역시 중구 국채보상로99길 22(동산동)
1483,성주숯불갈비,식육(숯불구이),대구광역시 중구 서성로 72(1층 서성로1가)
1484,성주식당,한식,대구광역시 중구 달성로 51(대신동)
1485,성진사다이닝,경양식,대구광역시 중구 중앙대로 465-3(지상 1층 북성로1가)
1486,세명칼국수,한식,대구광역시 중구 경상감영길 117-16(향촌동)
1487,세안식당,한식,"대구광역시 중구 중앙대로61길 30(남산동, 지상1층)"
1488,세안식당,김밥(도시락),"대구광역시 중구 명덕로35길 120(남산동, 점포1동 제2호)"
1489,세연콩국,한식,"대구광역시 중구 명덕로 173(남산동, 지상1층)"
1490,세월이 빚은 할매만두,분식,대구광역시 중구 남산로7길 102(남산동)
1491,셀리우,경양식,"대구광역시 중구 교동2길 43-9(완전동, 지상1층)"
1492,소굴(巢窟),일식,대구광역시 중구 국채보상로142길 17(1층 동인동4가)
1493,소근소근 교동점,한식,"대구광역시 중구 교동2길 32-1(문화동, 지상1층)"
1494,소근소근 봉산점,한식,대구광역시 중구 봉산문화길 1(1층 봉산동)
1495,소근소근 봉산점,한식,대구광역시 중구 봉산문화길 1(1층 봉산동)
1496,소나무,한식,대구광역시 중구 동덕로 56-5(지상1층 대봉동)
1497,소나무 향,식육(숯불구이),대구광역시 중구 동덕로30길 75(동인동4가)
1498,소나무송,한식,"대구광역시 중구 동덕로 84-3(대봉동, 지상1층)"
1499,소담,한식,대구광역시 중구 약령길 66-3(지상 1층 수동)
1500,소담 탑마트대구점,분식,"대구광역시 중구 중앙대로66길 20(301동 지하2층 남산동, 반월당효성해링턴플레이스)"
1501,소담히,한식,"대구광역시 중구 동성로4길 6(삼덕동1가, 지상1층)"
1502,소두불,한식,대구광역시 중구 중앙대로77길 15(1층 종로2가)
1503,소랑생고기,호프/통닭,대구광역시 중구 동덕로36길 36(동인동2가)
1504,소림마라 대구중구점,한식,대구광역시 중구 달구벌대로 2003-8(지상1층 동산동)
1505,소마드로잉카페 대구중앙로점,기타,대구광역시 중구 경상감영길 160(4층 동문동)
1506,소말뚝 삼덕점,호프/통닭,대구광역시 중구 공평로8길 14(삼덕동2가)
1507,소문난 식당,한식,"대구광역시 중구 경상감영길 101(포정동, 지상1층 104호)"
1508,소문난팥빙수단팥죽,분식,"대구광역시 중구 큰장로26안길 11(대신동, 지상1층)"
1509,소반국수,한식,대구광역시 중구 달구벌대로440길 9-4(대봉동)
1510,소반코다리집,한식,대구광역시 중구 중앙대로 404-9(남일동)
1511,소선,분식,대구광역시 중구 달구벌대로 2130-8(1층 봉산동)
1512,소선샤브,한식,대구광역시 중구 남성로 53(1층 동성로3가)
1513,소소국밥,한식,"대구광역시 중구 동덕로6길 19(1,2층 대봉동)"
1514,소암식당,한식,대구광역시 중구 달구벌대로418길 12-2(남산동)
1515,소오소오 교동점,일식,"대구광역시 중구 교동길 43-1(1,2층 교동)"
1516,소와 나무,식육(숯불구이),"대구광역시 중구 대봉로 241(대봉동, 지상1층)"
1517,소요리 오마카세 다이우,일식,대구광역시 중구 국채보상로150길 49(1층 동인동4가)
1518,소원반점,중국식,대구광역시 중구 명륜로23길 93(1층 남산동)
1519,소지(SOZI),기타,대구광역시 중구 서성로14길 65(2층 대안동)
1520,소풍,한식,대구광역시 중구 경상감영길 279(지상1층 동인동1가)
1521,소풍온카페,경양식,"대구광역시 중구 교동길 53-1(지상1,2층 교동)"
1522,소풍한끼,한식,대구광역시 중구 동덕로30길 110(1층 삼덕동3가)
1523,손가네식당,식육(숯불구이),대구광역시 중구 서성로13길 45(1층 인교동)
1524,손양식당,한식,대구광역시 중구 중앙대로 439(향촌동)
1525,솔나무 담소반,한식,대구광역시 중구 명륜로 64-4(남산동)
1526,솔마루,한식,대구광역시 중구 달구벌대로 2058(ABL대구타워 지하1층 남산동)
1527,솔밭,식육(숯불구이),대구광역시 중구 명륜로 98(남산동)
1528,솔밭샤브,한식,대구광역시 중구 달구벌대로443길 45(1층 삼덕동2가)
1529,솔솥 대구동성로점,분식,"대구광역시 중구 남성로 59(동성로3가, 지상1층)"
1530,솔이네,분식,대구광역시 중구 대봉로47길 8(1층 대봉동)
1531,솔풍매운탕,한식,대구광역시 중구 남산로17길 8(남산동)
1532,솟대,호프/통닭,대구광역시 중구 중앙대로 405(남일동)
1533,송 브로스,호프/통닭,"대구광역시 중구 동성로3길 20(삼덕동1가, 디스퀘어 107,108호)"
1534,송강 노포갈비,식육(숯불구이),대구광역시 중구 공평로 11(1층 삼덕동1가)
1535,송림,한식,대구광역시 중구 북성로 104-21(향촌동)
1536,송림식당,한식,"대구광역시 중구 중앙대로61길 14(남산동, 지상2층)"
1537,송림식당,한식,대구광역시 중구 동덕로 114-5(삼덕동2가)
1538,송미미네집 본점,한식,대구광역시 중구 중앙대로81길 50(종로1가)
1539,송송,한식,대구광역시 중구 큰장로26길 25(서문시장 2지구 지하 208호 대신동)
1540,송원 식당,한식,대구광역시 중구 2·28길 3(남산동)
1541,송이식당,기타,대구광역시 중구 종로 9(지상1층 계산동2가)
1542,송정,한식,대구광역시 중구 진골목길 5(종로2가)
1543,송정동태,한식,대구광역시 중구 경상감영길 294(동인동2가)
1544,송하식당,한식,대구광역시 중구 큰장로28길 23(1층 대신동)
1545,쇼킹지노참치,경양식,대구광역시 중구 달구벌대로446길 8-8(대봉동)
1546,수기소금,호프/통닭,대구광역시 중구 동성로12길 12(1층 문화동)
1547,수다카페,기타,대구광역시 중구 명덕로35길 35(2층 남산동)
1548,수미한식뷔페,한식,"대구광역시 중구 태평로 129(1층 111호 태평로2가, 건영아파트)"
1549,수민네아귀찜,한식,대구광역시 중구 달구벌대로393길 75(1층 대신동)
1550,수민집,한식,대구광역시 중구 남산로4길 160(1층 남산동)
1551,수복찜갈비,한식,대구광역시 중구 동덕로38길 15(1층 동인동1가)
1552,수북하이(SUBUKHI),기타,대구광역시 중구 달구벌대로 2077(현대백화점 지하1층 계산동2가)
1553,수상한 파스타,경양식,대구광역시 중구 국채보상로102길 34-4(1층 동산동)
1554,수선화,한식,"대구광역시 중구 경상감영길 101(포정동, 지상1층)"
1555,수야,일식,대구광역시 중구 동성로3길 32-37(삼덕동1가)
1556,수영식당,한식,대구광역시 중구 동덕로 114(삼덕동2가)
1557,수오미엔,중국식,대구광역시 중구 동덕로 64(지상 1층 대봉동)
1558,수월,경양식,대구광역시 중구 경상감영길 210(2층 동문동)
1559,수저푸드 본점,경양식,대구광역시 중구 동덕로30길 119-15(지상1층 동인동4가)
1560,수정,한식,대구광역시 중구 서성로14길 110(향촌동)
1561,수정,한식,대구광역시 중구 서성로14길 21-9(서내동)
1562,수제냉면 떡갈비 삼락원 냉면,냉면집,대구광역시 중구 동성로6길 12-3(1층 공평동)
1563,수주식당,한식,"대구광역시 중구 중앙대로81길 58(종로1가, 지상1층)"
1564,수페부엌 대봉점,경양식,"대구광역시 중구 달구벌대로440길 36(1,2층 대봉동)"
1565,수평적관계,기타,대구광역시 중구 동덕로26길 115(삼덕동3가)
1566,수하은,식육(숯불구이),"대구광역시 중구 동성로3길 58-11(공평동, 지상1층)"
1567,순곱이네,기타,"대구광역시 중구 중앙대로 411(동일동, 지상1층)"
1568,순도,경양식,대구광역시 중구 경상감영길 226(지상 2층 동문동)
1569,순이네,기타,"대구광역시 중구 동성로4길 34(삼덕동1가, 지하1층)"
1570,순정식당,한식,"대구광역시 중구 경상감영길 101(포정동, 중앙상가 1층 28호)"
1571,술집(sulzip),정종/대포집/소주방,대구광역시 중구 서성로 100(지하1층 수창동)
1572,숨쉬는순두부,한식,"대구광역시 중구 동덕로 104(삼덕동2가, 지상1층)"
1573,숨은집,경양식,대구광역시 중구 동성로1길 46-23(1층 봉산동)
1574,숯불에구운닭다리살,한식,"대구광역시 중구 대봉로 198(대봉동, 자상1층)"
1575,숲,경양식,대구광역시 중구 동성로2길 87(동성로2가)
1576,쉐이크쉑 동성로점,경양식,"대구광역시 중구 동성로6길 61(1층 101,102호 공평동)"
1577,쉘터(Shelter),정종/대포집/소주방,대구광역시 중구 교동3길 36(지상 1층 101호 완전동)
1578,쉬다(SHEDA),기타,대구광역시 중구 국채보상로150길 76-14(지상1층 삼덕동3가)
1579,쉬어가는 포차,정종/대포집/소주방,"대구광역시 중구 명덕로35길 112(5지구 1층 37,39호 남산동)"
1580,쉿(Shhh),한식,대구광역시 중구 동성로2길 50-18(1층 삼덕동1가)
1581,슈가맨 라운지,호프/통닭,대구광역시 중구 동성로4길 45-3(삼덕동1가)
1582,스구식탁,한식,대구광역시 중구 동성로1길 25(1층 동성로3가)
1583,스너그(snug),호프/통닭,"대구광역시 중구 동성로3길 58-18(삼덕동1가, 지하1층)"
