시설명,관리주체,부지면적,좌석수,수용인원,준공연도
의흥면 게이트볼장,군위군,462,,,2003이전
소보면 게이트볼장,군위군,792,,,2023
군위읍 제1게이트볼장,군위군,616,,,2008이전
군위읍 제2게이트볼장,군위군,616,,,2008이전
동부여성문화회관실내수영장,동부여성문화회관,5726,,,1995
아양아트센터실내수영장,동구(위탁:동구문화재단),25057,,,2004
서구 청소년수련관실내수영장,서구(위탁:함께하는 마음 재단),5600,,,2001
북구 청소년회관,북구(위탁:(재)대구시북구청소년회관),9250,,,2000
유니버시아드레포츠센터,자체운영,12295,,,2003
두류 수영장,체육시설관리부(위탁:대구공공시설관리공단),56523,,1500,1984
올림픽기념국민생활관수영장,체육시설관리부(위탁:대구공공시설관리공단),9918,,0,1991
달서아트센터 수영장,달서구(위탁: 달서문화재단),18815,,,2004
성서국민체육센터수영장,체육시설관리부(위탁:대구시체육회),3900,,,2007
달서구 청소년수련관수영장,위탁(계명문화대학교),6489,,,1999
근로자종합복지회관수영장,고용노동정책과(위탁:한국노총),6623,,,2006
달구벌 종합스포츠센터수영장,장애인복지과(위탁:전석복지재단),9910,,,2000
대구학생문화센터수영장,대구학생문화센터(민간위탁:대구학생문화센터수영장),25768,,312,2002
여성문화복지센터수영장,달성군시설관리공단,4628,,,2006
달성문화센터수영장,달성군시설관리공단,9000,,,2011
서재문화체육센터 수영장,자원순환과(위탁:대구공공시설관리공단),30790,,,2015
달성국민체육센터수영장,달성군시설관리공단,4968,,,2013
달성테크노스포츠센터,달성군시설관리공단,45185,,,2023
군위국민체육센터수영장,군위군,,,,2003
팔공산인라인스케이트장,팔공산자연공원관리사무소,1353,,,2008
만촌 롤러스케이트장,체육시설관리부(위탁:대구롤러스포츠연맹),15700,800,1000,1992
패밀리파크 인라인스케이트장,수성구,,,,2011
두류공원 인라인스케이트장,도시공원관리사무소,6535,,,1993
환경자원사업소인라인스케이트장,환경자원사업소,7031,,,2010
화원 인라인스케이트장,달성군시설관리공단,9821,100,100,2008
대구국제사격장,체육시설관리부(위탁:대구공공시설관리공단),191300,1519,5000,2008
대구국궁장,위탁(궁도협회),8698,,,1975
범어궁도장,체육시설관리부(위탁:대구궁도협회),5877,,500,1992
학산정,위탁(궁도협회),6611,,,2004
상리양궁장,서구청,25110,100,100,2012
앞산양궁훈련장,체육시설관리부(위탁:대구양궁협회),5781,,,1982
군위양궁연습장,군위군,3100,,,2019
대구 승마장,위탁(경북도승마협회),5276,,,1975
승마힐링센터,체육시설관리부(위탁:대구공공시설관리공단),,,,2015
대덕 승마장,체육시설관리부(위탁:대구공공시설관리공단),31773,500,1000,1992
삼국유사교육문화회관실내골프연습장,군위군,,,,2007
대구실내빙상장,체육시설관리부(위탁:대구공공시설관리공단),3693,,639,1995
팔공산인공암벽장,팔공산자연공원관리사무소,825,,,2008
X-게임장,동구,980,,,2010
봉무파크골프장,동구,15030,,,2015
도평파크골프장,동구,6242,,,2021
불로파크골프장,체육시설관리부,25240,,,2020
불로풋살경기장,동구(직영),1643,,,2002
불로다목적운동장족구장,동구,,,,2021
신서풋살경기장,동구(직영),1056,,,2015
서구족구장,서구,1023,,,2017
비산소프트볼훈련장,체육시설관리부(위탁:대구공공시설관리공단),7044,,,2016
비산파크골프장(제1구장),체육시설관리부,9300,,,2018
금호강제2비산파크골프장,서구,9885,,,2020
강당골파크골프장,남구,4900,,,2018
남구국제스포츠클라이밍장,남구,5580,,,2021
강변파크골프장,체육시설관리부,22502,,300,2008
검단동강변파크골프장,북구 체육진흥과(직영),25000,,500,2018
무태파크골프장,북구 체육진흥과(직영),17000,,,
연경체육공원다목적구장,북구,900,,,
